Timestamp,Board_SN,Rail,Capture_No,Overshoot_mV,Undershoot_mV,Recovery_us,Settling_us,OS_PF,US_PF,Rec_PF,Set_PF,Overall_PF
2026-04-12 21:58:13,SN-001,+3V6,1,6.11,128.86,0.0,190.0,PASS,PASS,PASS,PASS,PASS
2026-04-12 21:58:14,SN-001,+3V6,2,8.12,95.66,0.0,162.0,PASS,PASS,PASS,PASS,PASS
2026-04-12 21:58:15,SN-001,+3V6,3,5.61,87.91,0.0,204.0,PASS,PASS,PASS,PASS,PASS
2026-04-12 21:58:17,SN-001,+3V6,4,5.73,146.44,0.0,218.0,PASS,PASS,PASS,PASS,PASS
2026-04-12 21:58:18,SN-001,+3V6,5,6.36,127.58,0.0,262.0,PASS,PASS,PASS,PASS,PASS
2026-04-12 21:58:19,SN-001,+3V6,6,6.76,127.21,0.0,280.0,PASS,PASS,PASS,PASS,PASS
2026-04-12 21:58:20,SN-001,+3V6,7,6.32,106.63,0.0,274.0,PASS,PASS,PASS,PASS,PASS
2026-04-12 21:58:21,SN-001,+3V6,8,6.02,131.01,0.0,194.0,PASS,PASS,PASS,PASS,PASS
2026-04-12 21:58:22,SN-001,+3V6,9,5.98,133.67,0.0,216.0,PASS,PASS,PASS,PASS,PASS
2026-04-12 21:58:23,SN-001,+3V6,10,4.64,141.0,0.0,312.0,PASS,PASS,PASS,PASS,PASS
2026-04-12 21:58:25,SN-001,+3V3,1,5.79,148.09,0.0,276.0,PASS,PASS,PASS,PASS,PASS
2026-04-12 21:58:26,SN-001,+3V3,2,5.96,126.06,0.0,186.0,PASS,PASS,PASS,PASS,PASS
2026-04-12 21:58:27,SN-001,+3V3,3,5.87,118.62,0.0,200.0,PASS,PASS,PASS,PASS,PASS
2026-04-12 21:58:28,SN-001,+3V3,4,7.01,140.69,0.0,310.0,PASS,PASS,PASS,PASS,PASS
2026-04-12 21:58:29,SN-001,+3V3,5,5.97,114.76,0.0,292.0,PASS,PASS,PASS,PASS,PASS
2026-04-12 21:58:30,SN-001,+3V3,6,5.73,105.83,0.0,294.0,PASS,PASS,PASS,PASS,PASS
2026-04-12 21:58:31,SN-001,+3V3,7,6.69,140.9,0.0,238.0,PASS,PASS,PASS,PASS,PASS
2026-04-12 21:58:32,SN-001,+3V3,8,5.56,144.88,0.0,266.0,PASS,PASS,PASS,PASS,PASS
2026-04-12 21:58:33,SN-001,+3V3,9,5.65,103.51,0.0,172.0,PASS,PASS,PASS,PASS,PASS
2026-04-12 21:58:34,SN-001,+3V3,10,5.22,127.2,0.0,256.0,PASS,PASS,PASS,PASS,PASS
2026-04-12 21:58:36,SN-001,+1V8,1,6.54,150.13,0.0,394.0,PASS,FAIL,PASS,PASS,FAIL
2026-04-12 21:58:37,SN-001,+1V8,2,6.21,100.87,0.0,268.0,PASS,FAIL,PASS,PASS,FAIL
2026-04-12 21:58:38,SN-001,+1V8,3,6.21,136.71,0.0,238.0,PASS,FAIL,PASS,PASS,FAIL
2026-04-12 21:58:39,SN-001,+1V8,4,5.74,95.29,0.0,324.0,PASS,FAIL,PASS,PASS,FAIL
2026-04-12 21:58:40,SN-001,+1V8,5,5.85,146.51,0.0,314.0,PASS,FAIL,PASS,PASS,FAIL
2026-04-12 21:58:41,SN-001,+1V8,6,5.59,112.31,0.0,272.0,PASS,FAIL,PASS,PASS,FAIL
2026-04-12 21:58:42,SN-001,+1V8,7,6.3,91.2,0.0,348.0,PASS,FAIL,PASS,PASS,FAIL
2026-04-12 21:58:43,SN-001,+1V8,8,6.51,121.36,0.0,382.0,PASS,FAIL,PASS,PASS,FAIL
2026-04-12 21:58:44,SN-001,+1V8,9,5.27,97.2,0.0,370.0,PASS,FAIL,PASS,PASS,FAIL
2026-04-12 21:58:45,SN-001,+1V8,10,6.36,104.93,0.0,336.0,PASS,FAIL,PASS,PASS,FAIL
2026-04-12 21:58:47,SN-001,+2V5,1,8.27,124.97,0.0,282.0,PASS,PASS,PASS,PASS,PASS
2026-04-12 21:58:48,SN-001,+2V5,2,5.99,124.13,0.0,306.0,PASS,PASS,PASS,PASS,PASS
2026-04-12 21:58:49,SN-001,+2V5,3,6.73,148.93,0.0,234.0,PASS,FAIL,PASS,PASS,FAIL
2026-04-12 21:58:50,SN-001,+2V5,4,7.08,79.72,0.0,218.0,PASS,PASS,PASS,PASS,PASS
2026-04-12 21:58:51,SN-001,+2V5,5,6.43,104.32,0.0,282.0,PASS,PASS,PASS,PASS,PASS
2026-04-12 21:58:52,SN-001,+2V5,6,6.16,130.25,0.0,328.0,PASS,FAIL,PASS,PASS,FAIL
2026-04-12 21:58:53,SN-001,+2V5,7,6.59,97.45,0.0,190.0,PASS,PASS,PASS,PASS,PASS
2026-04-12 21:58:54,SN-001,+2V5,8,5.82,111.77,0.0,350.0,PASS,PASS,PASS,PASS,PASS
2026-04-12 21:58:56,SN-001,+2V5,9,6.09,107.15,0.0,252.0,PASS,PASS,PASS,PASS,PASS
2026-04-12 21:58:57,SN-001,+2V5,10,5.47,130.96,0.0,330.0,PASS,FAIL,PASS,PASS,FAIL
